AT1G02228	AT1TE01405
AT1G03420	AT1TE02770
AT1G06740	AT1TE06780
AT1G07800	AT1TE07880
AT1G08105	AT1TE08240
AT1G08735	AT1TE09080
AT1G08740	AT1TE09080
AT1G10160	NA
AT1G10260	AT1TE10935
AT1G11150	NA
AT1G11265	AT1TE12295
AT1G12720	AT1TE14085
AT1G12725	AT1TE14085
AT1G12935	AT1TE14315
AT1G13660	NA
AT1G15300	AT1TE17030
AT1G15560	NA
AT1G16620	AT1TE18370
AT1G16660	AT1TE18410
AT1G17275	AT1TE19130
AT1G17277	AT1TE19130
AT1G17390	AT1TE19270
AT1G17495	AT1TE19430
AT1G17900	AT1TE19910
AT1G18240	AT1TE20315
AT1G18930	AT1TE21210
AT1G19030	AT1TE21300
AT1G19392	AT1TE21710
AT1G19415	AT1TE21735
AT1G20390	NA
AT1G21020	AT1TE23740
AT1G21040	AT1TE23740
AT1G21220	AT1TE23940
AT1G21260	AT1TE23980
AT1G21290	AT1TE23995
AT1G21300	AT1TE24000
AT1G21330	NA
AT1G21945	AT1TE24850
AT1G22560	AT1TE25645
AT1G22580	AT1TE25665
AT1G23920	AT1TE27295
AT1G23930	AT1TE27295
AT1G23990	AT1TE27405
AT1G24370	NA
AT1G24640	AT1TE28175
AT1G24938	NA
AT1G24967	AT1TE28370
AT1G25430	AT1TE28830
AT1G25784	AT1TE29060
AT1G25886	AT1TE29060
AT1G26860	AT1TE29990
AT1G26950	AT1TE30130
AT1G26990	AT1TE30195
AT1G27285	AT1TE30550
AT1G27780	AT1TE31190
AT1G27790	AT1TE31190
AT1G27800	AT1TE31190
AT1G27810	AT1TE31190
AT1G27815	AT1TE31190
AT1G28323	AT1TE32015
AT1G28465	AT1TE32270
AT1G29075	AT1TE32755
AT1G29360	AT1TE33210
AT1G29475	AT1TE33350
AT1G29650	AT1TE33490
AT1G30030	NA
AT1G30150	AT1TE34315
AT1G30180	AT1TE34335
AT1G30310	NA
AT1G30340	AT1TE34580
AT1G30390	AT1TE34650
AT1G30835	AT1TE35415
AT1G30975	AT1TE35675
AT1G30980	AT1TE35680
AT1G31030	AT1TE35720
AT1G31100	NA
AT1G31166	AT1TE35980
AT1G31210	AT1TE36035
AT1G31570	AT1TE36570
AT1G31993	NA
AT1G32040	AT1TE37265
AT1G32045	AT1TE37265
AT1G32390	NA
AT1G32505	AT1TE38090
AT1G32590	AT1TE38210
AT1G32680	AT1TE38300
AT1G32820	AT1TE38530
AT1G32830	AT1TE38530
AT1G32840	AT1TE38530
AT1G32890	AT1TE38580
AT1G33000	AT1TE38700
AT1G33130	AT1TE38940
AT1G33135	AT1TE38940
AT1G33180	AT1TE38980
AT1G33200	NA
AT1G33300	NA
AT1G33380	AT1TE39235
AT1G33450	NA
AT1G33460	NA
AT1G33550	AT1TE39490
AT1G33570	AT1TE39515
AT1G33580	AT1TE39515
AT1G33813	AT1TE39880
AT1G33817	AT1TE39880
AT1G33835	AT1TE39900
AT1G33855	AT1TE39950
AT1G34080	NA
AT1G34090	AT1TE40355
AT1G34097	NA
AT1G34230	AT1TE40560
AT1G34240	AT1TE40605
AT1G34250	AT1TE40640
AT1G34405	AT1TE40955
AT1G34530	AT1TE41230
AT1G34545	AT1TE41280
AT1G34590	AT1TE41345
AT1G34600	AT1TE41345
AT1G34610	AT1TE41350
AT1G34620	AT1TE41350
AT1G34660	AT1TE41415
AT1G34700	AT1TE41460
AT1G34710	AT1TE41460
AT1G34720	AT1TE41460
AT1G34730	AT1TE41460
AT1G34740	AT1TE41460
AT1G34842	AT1TE41565
AT1G34904	AT1TE41575
AT1G34967	AT1TE41580
AT1G35050	AT1TE41735
AT1G35060	AT1TE41745
AT1G35080	AT1TE41745
AT1G35090	AT1TE41745
AT1G35100	AT1TE41765
AT1G35110	AT1TE41745
AT1G35112	AT1TE41790
AT1G35115	AT1TE41800
AT1G35120	AT1TE41815
AT1G35130	AT1TE41820
AT1G35143	NA
AT1G35146	AT1TE41860
AT1G35186	NA
AT1G35280	AT1TE42210
AT1G35300	AT1TE42225
AT1G35360	AT1TE42355
AT1G35370	AT1TE42395
AT1G35380	AT1TE42400
AT1G35390	NA
AT1G35405	NA
AT1G35465	AT1TE42595
AT1G35480	NA
AT1G35535	AT1TE42800
AT1G35570	AT1TE42850
AT1G35590	AT1TE42890
AT1G35600	AT1TE42890
AT1G35612	NA
AT1G35640	AT1TE43010
AT1G35645	AT1TE43010
AT1G35647	AT1TE43040
AT1G35650	AT1TE43050
AT1G35663	AT1TE43080
AT1G35690	AT1TE43155
AT1G35735	AT1TE43225
AT1G35745	AT1TE43305
AT1G35760	AT1TE43355
AT1G35770	AT1TE43355
AT1G35790	NA
AT1G35840	AT1TE43585
AT1G35870	NA
AT1G35920	AT1TE43740
AT1G35930	AT1TE43740
AT1G35940	AT1TE43740
AT1G35950	AT1TE43740
AT1G35960	NA
AT1G35970	NA
